period_key,plant_key,bu_key,product_group,product_key,account_key,value,version_key,profitcenter_key,costcenter_key,tags
2019-01-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,1664.8809481353699,Actuals,AnnArbor,Detroit,
2019-02-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,1191.7103306240124,Actuals,AnnArbor,Detroit,
2019-03-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,617.456117987227,Actuals,AnnArbor,Detroit,
2019-04-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,527.255048784295,Actuals,AnnArbor,Detroit,
2019-05-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,678.1307655577291,Actuals,AnnArbor,Detroit,
2019-06-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,420.26914023697674,Actuals,AnnArbor,Detroit,
2019-07-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,1253.3888457050869,Actuals,AnnArbor,Detroit,
2019-08-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,1346.2152642498122,Actuals,AnnArbor,Detroit,
2019-09-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,997.8986211164232,Actuals,AnnArbor,Detroit,
2019-10-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,4908.912480107794,Actuals,AnnArbor,Detroit,
2019-11-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,2850.189942622663,Actuals,AnnArbor,Detroit,
2019-12-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,1575.1716792446637,Actuals,AnnArbor,Detroit,
2020-01-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,1093.129727233598,Actuals,AnnArbor,Detroit,
2020-02-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,1162.0209676743589,Actuals,AnnArbor,Detroit,
2020-03-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,912.9775376038713,Actuals,AnnArbor,Detroit,
2020-04-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,1213.1413398209081,Actuals,AnnArbor,Detroit,
2020-05-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,1500.1684489283466,Actuals,AnnArbor,Detroit,
2020-06-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,2231.994434924316,Actuals,AnnArbor,Detroit,
2020-07-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,2696.187910410604,Actuals,AnnArbor,Detroit,
2020-08-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,4189.754547040927,Actuals,AnnArbor,Detroit,
2020-09-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,2870.6544523419907,Actuals,AnnArbor,Detroit,
2020-10-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,3085.0046612012,Actuals,AnnArbor,Detroit,
2020-11-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,2527.8985493655296,Actuals,AnnArbor,Detroit,
2020-12-01,North America,Residential,Cooling Systems,MightyAir Central AC,volume,2007.9922533240683,Actuals,AnnArbor,Detroit,
