date,driver_value,driver_category,driver_name,driver_unique_name,qualifier,region,driver_units,driver_classification,driver_source,driver_capture_date,subregion,qualifier_2,denorm
2019-01-01,1.0259844064712524,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2019-02-01,1.020676851272583,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2019-03-01,1.020785927772522,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2019-04-01,1.0152143239974976,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2019-05-01,1.016631841659546,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2019-06-01,1.017871618270874,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2019-07-01,1.0125430822372437,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2019-08-01,1.0202430486679075,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2019-09-01,1.0170536041259766,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2019-10-01,1.0083948373794556,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2019-11-01,1.0139695405960083,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2019-12-01,1.0119117498397827,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2020-01-01,1.0059072971343994,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2020-02-01,1.0092287063598633,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2020-03-01,0.968870222568512,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2020-04-01,0.8405742645263672,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2020-05-01,0.8537723422050476,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2020-06-01,0.9099920988082886,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2020-07-01,0.9430388808250428,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2020-08-01,0.9522276520729064,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
2020-09-01,0.9518505334854126,Economic,Industrial Production,Industrial Production: Total Index,Total Index,North America,Index 100: 2017 Seasonal Adjusted,External,FRED,20241709,,,100.74208
